#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,36.5,16.56,16.01,16.08,16.7
10,55.61,31.36,30.48,30.63,31.98
15,67.43,45.63,42.31,41.79,46.91
20,75.39,58.17,52.44,51.98,60.21
25,80.59,68.32,60.29,60.4,71.23
30,83.96,76.11,65.98,65.92,77.91
35,86.5,80.73,70.62,70.63,81.87
40,85.45,83.32,74.36,74.87,83.88
45,90.03,85.45,77.73,76.82,85.54
50,91.35,86.81,80.81,80.39,86.85
55,92.6,88.1,83.26,82.6,87.94
60,93.67,89.21,85.04,84.7,89.14
65,94.63,90.49,86.96,87.29,90.32
70,95.51,91.67,89.25,89.27,91.63
75,96.35,92.8,91,91.01,92.94
80,97.06,93.96,92.65,92.78,94.05
85,97.64,95.42,94.16,94.46,95.21
90,98.14,96.64,95.98,96,96.58
95,98.63,97.81,97.53,97.67,97.7
100,99,99,99,99,99
